DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,2048,1,1,1,64,1,8,512,1,1,128,128,16,1,1,8,1,1,1,1,1,1,1,16,16,16,15.998187302127661,240790799456417.44,2.2845570723404256,63115498897597.8,0.7473892765957448,6895161872555.803,0.0017037617021276596,29659373481.373695,4.589193259574468,46863009588073.766
64,16,1,1,1,16,1,64,32,1,128,128,128,16,4,1,1,16,1,1,1,1,1,1,16,16,16,15.998187302127661,156539459171784.78,2.2845570723404256,19320137800273.1,0.7473892765957448,8295996794844.84,0.0017037617021276596,29659373481.373695,4.589193259574468,46431448159648.586
32,1024,1,1,1,8,1,64,256,2,2,128,128,16,8,1,1,2,1,1,1,1,1,1,16,16,16,15.998187302127661,197314203292479.2,2.2845570723404256,39707895891614.5,0.7473892765957448,8295996794844.84,0.0017037617021276596,29659373481.373695,4.589193259574468,46431062128654.39
64,2048,1,1,1,16,1,64,8,1,1,128,128,16,4,1,1,64,1,1,1,1,1,1,16,16,16,15.998187302127661,242221157295469.8,2.2845570723404256,62160986862115.625,0.7473892765957448,8295996794844.84,0.0017037617021276596,29659373481.373695,4.589193259574468,46431448159648.586
64,256,1,1,1,32,1,32,32,1,8,128,128,16,2,1,2,16,1,1,1,1,1,1,16,16,16,15.998187302127661,165377442900968.66,2.2845570723404256,24507898041613.68,0.7473892765957448,7495519696393.962,0.0017037617021276596,29659373481.373695,4.589193259574468,46863395430576.266
64,1024,1,1,1,64,1,4,512,1,2,128,128,16,1,1,16,1,1,1,1,1,1,1,16,16,16,15.998187302127661,198278157848624.3,2.2845570723404256,42009267549660.78,0.7473892765957448,6795102235249.442,0.0017037617021276596,29659373481.373695,4.589193259574468,46863009588073.766
32,8,1,1,1,16,1,32,16,2,256,128,128,16,4,1,2,32,1,1,1,1,1,1,16,16,16,15.998187302127661,151453777310733.75,2.2845570723404256,17546258261993.324,0.7473892765957448,7495519696393.962,0.0017037617021276596,29659373481.373695,4.589193259574468,46863202415079.17
32,2048,1,1,1,8,1,64,128,2,1,128,128,16,8,1,1,4,1,1,1,1,1,1,16,16,16,15.998187302127661,239418715388903.3,2.2845570723404256,60760151939826.58,0.7473892765957448,8295996794844.84,0.0017037617021276596,29659373481.373695,4.589193259574468,46431062128654.39
64,256,1,1,1,32,1,16,512,1,8,128,128,16,2,1,4,1,1,1,1,1,1,1,16,16,16,15.998187302127661,163375478469836.44,2.2845570723404256,24107659492388.242,0.7473892765957448,7095281147168.521,0.0017037617021276596,29659373481.373695,4.589193259574468,46863009588073.766
32,512,1,1,1,32,1,16,256,2,4,128,128,16,2,1,4,2,1,1,1,1,1,1,16,16,16,15.998187302127661,172441700210416.22,2.2845570723404256,28640674043421.266,0.7473892765957448,7095281147168.521,0.0017037617021276596,29659373481.373695,4.589193259574468,46863105907330.625
