DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
32,4,1,1,1,256,1,256,8,2,256,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,47.62378839148937,2.34041646447757e+16,0.2227848170212766,241366319907826.94,23.414304680851064,1.1267336258371968e+16,0.00041831489361702134,977268517549.179,0.5711392680851064,625194002571285.0
32,8,1,1,1,256,1,256,8,2,128,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,47.62378839148937,2.3409854985590292e+16,0.2227848170212766,247056660722418.56,23.414304680851064,1.1267336258371968e+16,0.00041831489361702134,977268517549.179,0.5711392680851064,625194002571285.0
64,512,1,1,1,256,1,256,16,1,2,64,64,16,1,1,1,1,1,1,1,1,1,1,256,256,256,47.721003574468085,2.4130029917800772e+16,0.32,967233233054577.0,23.414304680851064,1.1267336258371968e+16,0.00041831489361702134,977268517549.179,0.5711392680851064,625192362449610.0
64,8,1,1,1,256,1,256,8,1,128,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,47.721003574468085,2.3413050255605812e+16,0.32,250250290416032.53,23.414304680851064,1.1267336258371968e+16,0.00041831489361702134,977268517549.179,0.5711392680851064,625195642893194.8
64,32,1,1,1,256,1,256,16,1,32,64,64,16,1,1,1,1,1,1,1,1,1,1,256,256,256,47.721003574468085,2.344718902004978e+16,0.32,284392335303582.25,23.414304680851064,1.1267336258371968e+16,0.00041831489361702134,977268517549.179,0.5711392680851064,625192362449610.0
64,256,1,1,1,256,1,256,8,1,4,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,47.721003574468085,2.3765851386110492e+16,0.32,603051420920713.1,23.414304680851064,1.1267336258371968e+16,0.00041831489361702134,977268517549.179,0.5711392680851064,625195642893194.8
64,256,1,1,1,256,1,256,8,1,4,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,47.721003574468085,2.3765851386110492e+16,0.32,603051420920713.1,23.414304680851064,1.1267336258371968e+16,0.00041831489361702134,977268517549.179,0.5711392680851064,625195642893194.8
64,1024,1,1,1,256,1,128,4,1,1,64,64,16,1,1,2,4,1,1,1,1,1,1,256,256,256,46.590624272340435,2.4624187377644428e+16,0.2913924085106383,1692852624455614.8,22.863418825531916,1.1131074724777772e+16,0.00041831489361702134,981277431993.729,0.5711392680851064,666241471337285.6
64,128,1,1,1,256,1,256,2,1,8,64,64,16,1,1,1,8,1,1,1,1,1,1,256,256,256,47.721003574468085,2.358376048004356e+16,0.32,420960514853781.25,23.414304680851064,1.1267336258371968e+16,0.00041831489361702134,977268517549.179,0.5711392680851064,625195642893194.8
64,2,1,1,1,256,1,128,8,1,512,64,64,16,1,1,2,2,1,1,1,1,1,1,256,256,256,46.590624272340435,2.317198498915175e+16,0.2913924085106383,240650235962940.44,22.863418825531916,1.1131074724777772e+16,0.00041831489361702134,981277431993.729,0.5711392680851064,666241471337285.6
