DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,16,1,1,1,1,1,4,2,1,32,64,64,8,4,1,1,4,1,1,1,1,1,1,256,256,256,0.01554084361702128,11221504470695.39,0.0011382515957446809,1102224500368.768,0.0029282042553191493,1355326395518.6401,3.5404255319148942e-06,7639410351.0643215,0.002231012765957447,2456439615823.3057
64,256,1,1,1,4,1,1,8,1,2,64,64,8,1,1,4,1,1,1,1,1,1,1,256,256,256,0.016009593617021277,16867979699699.566,0.0013726265957446809,3775809315203.9307,0.0029282042553191493,1355326395518.6401,3.5404255319148942e-06,7649850232.430337,0.002231012765957447,2606066315786.8154
64,2,1,1,1,4,1,2,1,1,256,64,64,8,1,1,2,8,1,1,1,1,1,1,256,256,256,0.016076840425531917,11251228706495.422,0.00140625,954945987713.5646,0.0029282042553191493,1363643139512.4265,3.5404255319148942e-06,7649850232.430337,0.002231012765957447,2606079030684.4307
32,8,1,1,1,4,1,2,4,2,64,64,64,8,1,1,2,2,1,1,1,1,1,1,256,256,256,0.01538459361702128,11363791394338.027,0.0010601265957446808,1011233739142.3273,0.0029282042553191493,1363643139512.4265,3.5404255319148942e-06,7649850232.430337,0.002231012765957447,2606072623176.9707
64,32,1,1,1,4,1,2,2,1,16,64,64,8,1,1,2,4,1,1,1,1,1,1,256,256,256,0.016076840425531917,11918065520705.379,0.00140625,1288364394818.5425,0.0029282042553191493,1363643139512.4265,3.5404255319148942e-06,7649850232.430337,0.002231012765957447,2606079030684.4307
16,128,1,1,1,4,1,4,2,4,4,64,64,8,1,1,1,4,1,1,1,1,1,1,256,256,256,0.015362837234042553,13773365711987.865,0.0009483781914893617,2340748995565.3457,0.0029954510638297875,1380276627499.999,3.5404255319148942e-06,7639410351.0643215,0.002231012765957447,2456420393300.9272
16,8,1,1,1,4,1,4,8,4,64,64,64,8,1,1,1,1,1,1,1,1,1,1,256,256,256,0.015362837234042553,11106005840367.73,0.0009483781914893617,1007075367145.4341,0.0029954510638297875,1380276627499.999,3.5404255319148942e-06,7639410351.0643215,0.002231012765957447,2456414085910.7715
64,512,1,1,1,4,1,4,2,1,1,64,64,8,1,1,1,4,1,1,1,1,1,1,256,256,256,0.01659108085106383,22336498795434.17,0.0015625,6622296314766.121,0.0029954510638297875,1380276627499.999,3.5404255319148942e-06,7639410351.0643215,0.002231012765957447,2456439615823.3057
32,256,1,1,1,4,1,2,4,2,2,64,64,8,1,1,2,2,1,1,1,1,1,1,256,256,256,0.01538459361702128,16876309058473.664,0.0010601265957446808,3767492571210.1455,0.0029282042553191493,1363643139512.4265,3.5404255319148942e-06,7649850232.430337,0.002231012765957447,2606072623176.9707
32,256,1,1,1,4,1,4,8,2,2,64,64,8,1,1,1,1,1,1,1,1,1,1,256,256,256,0.01565358085106383,16630998620494.047,0.00109375,3769571757208.592,0.0029954510638297875,1380276627499.999,3.5404255319148942e-06,7639410351.0643215,0.002231012765957447,2456414085910.7715
64,32,1,1,1,1,1,4,8,1,16,64,64,8,4,1,1,1,1,1,1,1,1,1,256,256,256,0.01554084361702128,11577099711782.297,0.0011382515957446809,1280047650824.756,0.0029282042553191493,1355326395518.6401,3.5404255319148942e-06,7639410351.0643215,0.002231012765957447,2456414085910.7715
32,256,1,1,1,2,1,4,2,2,2,64,64,8,2,1,1,4,1,1,1,1,1,1,256,256,256,0.015430084042553194,16622707306295.488,0.0009820015957446807,3765413385211.698,0.0029954510638297875,1380276627499.999,3.5404255319148942e-06,7639410351.0643215,0.002231012765957447,2456426800808.3867
32,256,1,1,1,2,1,4,1,2,2,64,64,8,2,1,1,8,1,1,1,1,1,1,256,256,256,0.015430084042553194,16622707306295.488,0.0009820015957446807,3765413385211.698,0.0029954510638297875,1380276627499.999,3.5404255319148942e-06,7639410351.0643215,0.002231012765957447,2456426800808.3867
64,128,1,1,1,4,1,1,4,1,4,64,64,8,1,1,4,2,1,1,1,1,1,1,256,256,256,0.016009593617021277,14022821907184.062,0.0013726265957446809,2353224111556.0254,0.0029282042553191493,1355326395518.6401,3.5404255319148942e-06,7649850232.430337,0.002231012765957447,2606072623176.9707
