DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,8,1,1,1,1024,1,512,32,1,64,64,64,8,1,1,2,4,1,1,1,1,1,1,16,16,16,162.85521702127662,1618545467751898.5,2.2845570723404256,21364575047669.254,49.69804037446809,493590763780610.75,0.007181072340425532,118745577130.4919,4.578038195744681,47225149214537.64
16,256,1,1,1,512,1,512,16,4,2,64,64,8,2,1,2,8,1,1,1,1,1,1,16,16,16,162.85521702127662,1654624580890849.5,2.2845570723404256,39405289710127.414,49.69804037446809,493590763780610.75,0.007181072340425532,118745577130.4919,4.578038195744681,47223991121555.06
32,256,1,1,1,1024,1,512,2,2,2,64,64,8,1,1,2,64,1,1,1,1,1,1,16,16,16,162.85521702127662,1657427022797416.2,2.2845570723404256,40806124632416.45,49.69804037446809,493590763780610.75,0.007181072340425532,118745577130.4919,4.578038195744681,47224377152549.25
16,4,1,1,1,512,1,128,2,4,128,64,64,8,2,1,8,64,1,1,1,1,1,1,16,16,16,162.85521702127662,1495477934728252.0,2.2845570723404256,17466607240537.441,49.69804037446809,455167863054968.6,0.007181072340425532,118745577130.4919,4.578038195744681,47223701598309.41
8,64,1,1,1,256,1,1024,128,8,8,64,64,8,4,1,1,1,1,1,1,1,1,1,16,16,16,162.85521702127662,1772899344130083.0,2.2845570723404256,22504278025918.484,49.69804037446809,544821298081467.0,0.007181072340425532,118745577130.4919,4.578038195744681,46416582974096.29
64,32,1,1,1,1024,1,512,64,1,16,64,64,8,1,1,2,2,1,1,1,1,1,1,16,16,16,162.85521702127662,1622695675944971.0,2.2845570723404256,23439679144205.484,49.69804037446809,493590763780610.75,0.007181072340425532,118745577130.4919,4.578038195744681,47225149214537.64
32,4,1,1,1,1024,1,256,1,2,128,64,64,8,1,1,4,128,1,1,1,1,1,1,16,16,16,162.85521702127662,1536603024707657.0,2.2845570723404256,18817412344173.297,49.69804037446809,467975496630182.6,0.007181072340425532,118745577130.4919,4.578038195744681,47223991121555.06
8,1,1,1,1,1024,1,512,16,8,512,64,64,8,1,1,2,8,1,1,1,1,1,1,16,16,16,162.85521702127662,1609327663732518.5,2.2845570723404256,16757024146458.96,49.69804037446809,493590763780610.75,0.007181072340425532,118745577130.4919,4.578038195744681,47223798106057.95
64,4,1,1,1,512,1,32,64,1,128,64,64,8,2,1,32,2,1,1,1,1,1,1,16,16,16,162.85521702127662,1469062190479372.8,2.2845570723404256,18667322888213.758,49.69804037446809,445562137873558.0,0.007181072340425532,118745577130.4919,4.578038195744681,47223701598309.41
32,8,1,1,1,512,1,1024,8,2,64,64,64,8,2,1,1,16,1,1,1,1,1,1,16,16,16,162.85521702127662,1765820163736587.0,2.2845570723404256,18963143752316.617,49.69804037446809,544821298081467.0,0.007181072340425532,118745577130.4919,4.578038195744681,46418127050950.14
8,16,1,1,1,1024,1,512,1,8,32,64,64,8,1,1,2,128,1,1,1,1,1,1,16,16,16,162.85521702127662,1612921993654518.2,2.2845570723404256,18554189107458.74,49.69804037446809,493590763780610.75,0.007181072340425532,118745577130.4919,4.578038195744681,47223798106057.95
16,1,1,1,1,512,1,128,8,4,512,64,64,8,2,1,8,16,1,1,1,1,1,1,16,16,16,162.85521702127662,1494058768540095.0,2.2845570723404256,16757024146458.96,49.69804037446809,455167863054968.6,0.007181072340425532,118745577130.4919,4.578038195744681,47223701598309.41
8,64,1,1,1,512,1,1024,1,8,8,64,64,8,2,1,1,128,1,1,1,1,1,1,16,16,16,162.85521702127662,1773100235372438.5,2.2845570723404256,22604337663224.844,49.69804037446809,544821298081467.0,0.007181072340425532,118745577130.4919,4.578038195744681,46416968957967.56
64,512,1,1,1,128,1,256,16,1,1,64,64,8,8,1,4,8,1,1,1,1,1,1,16,16,16,162.85521702127662,1620672910708344.5,2.2845570723404256,60851969313522.84,49.69804037446809,467975496630182.6,0.007181072340425532,118745577130.4919,4.578038195744681,47224377152549.25
16,8,1,1,1,256,1,1024,2,4,64,64,64,8,4,1,1,64,1,1,1,1,1,1,16,16,16,162.85521702127662,1763817426866483.0,2.2845570723404256,17962547379253.02,49.69804037446809,544821298081467.0,0.007181072340425532,118745577130.4919,4.578038195744681,46417354988961.75
8,16,1,1,1,512,1,512,1,8,32,64,64,8,2,1,2,128,1,1,1,1,1,1,16,16,16,162.85521702127662,1612521755105292.8,2.2845570723404256,18354069832846.016,49.69804037446809,493590763780610.75,0.007181072340425532,118745577130.4919,4.578038195744681,47223798106057.95
64,4,1,1,1,256,1,64,1,1,128,64,64,8,4,1,16,128,1,1,1,1,1,1,16,16,16,162.85521702127662,1477167214116685.0,2.2845570723404256,17916875608416.06,49.69804037446809,448764046267361.5,0.007181072340425532,118745577130.4919,4.578038195744681,47223798106057.95
64,8,1,1,1,64,1,1024,16,1,64,64,64,8,16,1,1,8,1,1,1,1,1,1,16,16,16,162.85521702127662,1766223490533766.0,2.2845570723404256,19163263026929.336,49.69804037446809,544821298081467.0,0.007181072340425532,118745577130.4919,4.578038195744681,46419671174926.92
64,512,1,1,1,256,1,128,2,1,1,64,64,8,4,1,8,64,1,1,1,1,1,1,16,16,16,162.85521702127662,1582649476469939.5,2.2845570723404256,61052088588135.57,49.69804037446809,455167863054968.6,0.007181072340425532,118745577130.4919,4.578038195744681,47223991121555.06
32,32,1,1,1,1024,1,1024,2,2,16,64,64,8,1,1,1,64,1,1,1,1,1,1,16,16,16,162.85521702127662,1771571326126561.5,2.2845570723404256,21838724947303.727,49.69804037446809,544821298081467.0,0.007181072340425532,118745577130.4919,4.578038195744681,46418127050950.14
32,8,1,1,1,1024,1,512,4,2,64,64,64,8,1,1,2,32,1,1,1,1,1,1,16,16,16,162.85521702127662,1614541538135667.2,2.2845570723404256,19363382301542.06,49.69804037446809,493590763780610.75,0.007181072340425532,118745577130.4919,4.578038195744681,47224377152549.25
