DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
32,24,1,1,1,32,1,64,2,2,32,64,64,12,2,1,1,6,1,1,1,1,1,1,256,256,256,1.2912455382978725,656668120235253.1,0.030391614893617025,39439371263471.59,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88617005799556.36
16,64,1,1,1,64,1,64,2,4,12,64,64,12,1,1,1,6,1,1,1,1,1,1,256,256,256,1.2912455382978725,667262504786489.4,0.030391614893617025,50033909594886.81,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88616852019377.33
32,1,1,1,1,64,1,32,1,2,768,64,64,12,1,1,2,12,1,1,1,1,1,1,256,256,256,1.2651498212765957,649491319990219.0,0.030118672340425534,33005289078111.965,1.0742326468085106,521858167621520.5,8.279148936170214e-05,183492157942.07947,0.16063291914893618,94260878974702.4
32,192,1,1,1,32,1,64,6,2,4,64,64,12,2,1,1,2,1,1,1,1,1,1,256,256,256,1.2912455382978725,701479554150162.1,0.030391614893617025,84250805178380.62,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88617005799556.36
64,384,1,1,1,32,1,64,12,1,2,64,64,12,2,1,1,1,1,1,1,1,1,1,256,256,256,1.299018480851064,752991716855081.0,0.03816455744680851,135763275293481.53,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88616698389374.27
64,24,1,1,1,64,1,64,4,1,32,64,64,12,1,1,1,3,1,1,1,1,1,1,256,256,256,1.3096039234042556,657267233363163.8,0.04875,40038176831024.21,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88617313359914.42
32,256,1,1,1,64,1,64,4,2,3,64,64,12,1,1,1,3,1,1,1,1,1,1,256,256,256,1.2940580382978726,718700277985825.2,0.03320411489361702,101471529014043.66,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88617005799556.36
32,4,1,1,1,64,1,64,2,2,192,64,64,12,1,1,1,6,1,1,1,1,1,1,256,256,256,1.2940580382978726,651483127113461.6,0.03320411489361702,34254378141680.1,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88617005799556.36
64,128,1,1,1,16,1,64,1,1,6,64,64,12,4,1,1,12,1,1,1,1,1,1,256,256,256,1.296205980851064,684558540658633.5,0.03535205744680851,67329484126493.914,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88617313359914.42
64,4,1,1,1,32,1,32,6,1,192,64,64,12,2,1,2,2,1,1,1,1,1,1,256,256,256,1.2682352638297874,650740562833966.2,0.03320411489361702,34254378141680.1,1.0742326468085106,521858167621520.5,8.279148936170214e-05,183492157942.07947,0.16063291914893618,94261032754881.44
64,48,1,1,1,16,1,64,2,1,16,64,64,12,4,1,1,6,1,1,1,1,1,1,256,256,256,1.296205980851064,663219762603914.9,0.03535205744680851,45990706071775.32,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88617313359914.42
16,768,1,1,1,64,1,64,3,4,1,64,64,12,1,1,1,4,1,1,1,1,1,1,256,256,256,1.2912455382978725,854807545313022.9,0.030391614893617025,237578950121420.28,1.1000554212765958,528245427008748.44,8.279148936170214e-05,183158081738.36694,0.16063291914893618,88616852019377.33
