DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
16,256,1,1,1,16384,1,16384,1024,4,16,128,128,32,1,1,1,1,1,1,1,1,1,1,16,16,16,202372.08585586384,2.3436745616585426e+18,2339.386442076596,2.101668338749371e+16,97670.52623523405,1.1375644849953336e+18,0.8645174468085107,15183293447423.393,4689.053390978724,4.74833584000396e+16
32,64,1,1,1,16384,1,4096,512,2,64,128,128,32,1,1,4,2,1,1,1,1,1,1,16,16,16,202372.08585586384,2.027861534420303e+18,2339.386442076596,1.9506543204250884e+16,97670.52623523405,9.801842836231032e+17,0.8645174468085107,15183293447423.393,4689.053390978724,4.794087408950348e+16
16,2048,1,1,1,8192,1,16384,128,4,2,128,128,32,2,1,1,8,1,1,1,1,1,1,16,16,16,202372.08585586384,2.363097277759656e+18,2339.386442076596,4.0439300665049144e+16,97670.52623523405,1.1375644849953336e+18,0.8645174468085107,15183293447423.393,4689.053390978724,4.748345722359714e+16
32,256,1,1,1,16384,1,4096,1024,2,16,128,128,32,1,1,4,1,1,1,1,1,1,1,16,16,16,202372.08585586384,2.0299863916035658e+18,2339.386442076596,2.1631449799103988e+16,97670.52623523405,9.801842836231032e+17,0.8645174468085107,15183293447423.393,4689.053390978724,4.79408246779132e+16
32,64,1,1,1,4096,1,16384,256,2,64,128,128,32,4,1,1,4,1,1,1,1,1,1,16,16,16,202372.08585586384,2.341549852711182e+18,2339.386442076596,1.8891776792640612e+16,97670.52623523405,1.1375644849953336e+18,0.8645174468085107,15183293447423.393,4689.053390978724,4.748355604753165e+16
16,256,1,1,1,8192,1,16384,64,4,16,128,128,32,2,1,1,16,1,1,1,1,1,1,16,16,16,202372.08585586384,2.343264816207694e+18,2339.386442076596,2.0606839113086864e+16,97670.52623523405,1.1375644849953336e+18,0.8645174468085107,15183293447423.393,4689.053390978724,4.748345722359714e+16
64,64,1,1,1,8192,1,16384,32,1,64,128,128,32,2,1,1,32,1,1,1,1,1,1,16,16,16,202372.08585586384,2.343599271731085e+18,2339.386442076596,2.094099816467486e+16,97670.52623523405,1.1375644849953336e+18,0.8645174468085107,15183293447423.393,4689.053390978724,4.748375369540067e+16
64,64,1,1,1,4096,1,16384,32,1,64,128,128,32,4,1,1,32,1,1,1,1,1,1,16,16,16,202372.08585586384,2.3427795831822715e+18,2339.386442076596,2.012130961586116e+16,97670.52623523405,1.1375644849953336e+18,0.8645174468085107,15183293447423.393,4689.053390978724,4.748375369540067e+16
64,64,1,1,1,4096,1,8192,128,1,64,128,128,32,4,1,2,8,1,1,1,1,1,1,16,16,16,202372.08585586384,2.132576894767155e+18,2339.386442076596,1.930162106704746e+16,97670.52623523405,1.03264435074718e+18,0.8645174468085107,15183293447423.393,4689.053390978724,4.794102232540525e+16
32,128,1,1,1,16384,1,4096,512,2,32,128,128,32,1,1,4,2,1,1,1,1,1,1,16,16,16,202372.08585586384,2.0285698366185874e+18,2339.386442076596,2.0214845402535252e+16,97670.52623523405,9.801842836231032e+17,0.8645174468085107,15183293447423.393,4689.053390978724,4.794087408950348e+16
64,256,1,1,1,8192,1,8192,32,1,16,128,128,32,2,1,2,32,1,1,1,1,1,1,16,16,16,202372.08585586384,2.135521489910822e+18,2339.386442076596,2.224621621071426e+16,97670.52623523405,1.03264435074718e+18,0.8645174468085107,15183293447423.393,4689.053390978724,4.794102232540525e+16
64,64,1,1,1,16384,1,8192,512,1,64,128,128,32,1,1,2,2,1,1,1,1,1,1,16,16,16,202372.08585586384,2.1350359604135962e+18,2339.386442076596,2.176068671348856e+16,97670.52623523405,1.03264435074718e+18,0.8645174468085107,15183293447423.393,4689.053390978724,4.794102232540525e+16
64,32,1,1,1,16384,1,4096,512,1,128,128,128,32,1,1,4,2,1,1,1,1,1,1,16,16,16,202372.08585586384,2.029351731967959e+18,2339.386442076596,2.099669133993953e+16,97670.52623523405,9.801842836231032e+17,0.8645174468085107,15183293447423.393,4689.053390978724,4.794092350147074e+16
64,64,1,1,1,16384,1,4096,128,1,64,128,128,32,1,1,4,8,1,1,1,1,1,1,16,16,16,202372.08585586384,2.0297058830671012e+18,2339.386442076596,2.1350842439081708e+16,97670.52623523405,9.801842836231032e+17,0.8645174468085107,15183293447423.393,4689.053390978724,4.794092350147074e+16
