DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
32,64,1,1,1,256,1,256,4,2,8,64,64,8,1,1,1,2,1,1,1,1,1,1,256,256,256,35.54815959148936,1.7427207668042004e+16,0.07,104684412911150.89,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157194921674706.8
64,8,1,1,1,64,1,256,2,1,64,64,64,8,4,1,1,4,1,1,1,1,1,1,256,256,256,35.55385579574468,1.7347544536959632e+16,0.07284810212765958,64852027209009.52,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
64,4,1,1,1,256,1,128,4,1,128,64,64,8,1,1,2,2,1,1,1,1,1,1,256,256,256,34.76183080851064,1.7157683624849216e+16,0.09,62539128417316.04,11.431709412765958,5565537362388885.0,0.00022658723404255323,489590414875.54156,0.1427848170212766,166772664386773.62
64,64,1,1,1,64,1,256,2,1,8,64,64,8,4,1,1,4,1,1,1,1,1,1,256,256,256,35.55385579574468,1.7427209308363914e+16,0.07284810212765958,104684412911150.89,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
64,1,1,1,1,64,1,256,1,1,512,64,64,8,4,1,1,8,1,1,1,1,1,1,256,256,256,35.51955444140625,1.7335989820610976e+16,0.055697424958444146,59074669034682.04,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
32,16,1,1,1,256,1,128,2,2,32,64,64,8,1,1,2,4,1,1,1,1,1,1,256,256,256,34.717527012765956,1.7173423148093028e+16,0.06784810212765957,70409300119700.56,11.431709412765958,5565537362388885.0,0.00022658723404255323,489590414875.54156,0.1427848170212766,166772254306296.22
32,4,1,1,1,128,1,256,8,2,128,64,64,8,2,1,1,1,1,1,1,1,1,1,256,256,256,35.53385579574468,1.7341318644085852e+16,0.06284810212765957,61740720993912.55,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157194101613869.3
64,4,1,1,1,256,1,256,2,1,128,64,64,8,1,1,1,4,1,1,1,1,1,1,256,256,256,35.60815959148936,1.7343451010991848e+16,0.1,62805264225117.2,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
64,256,1,1,1,256,1,64,1,1,2,64,64,8,1,1,4,8,1,1,1,1,1,1,256,256,256,34.757527012765955,1.7413711990004084e+16,0.08784810212765957,241651796173051.56,11.431709412765958,5531471978990336.0,0.00022658723404255323,489590414875.54156,0.1427848170212766,166772254306296.22
64,128,1,1,1,128,1,256,2,1,4,64,64,8,2,1,1,4,1,1,1,1,1,1,256,256,256,35.56815959148936,1.7518787033012984e+16,0.08,150473275235685.03,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
64,512,1,1,1,256,1,256,2,1,1,64,64,8,1,1,1,4,1,1,1,1,1,1,256,256,256,35.60815959148936,1.8065494410831676e+16,0.1,423826964145031.75,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
64,256,1,1,1,256,1,256,4,1,2,64,64,8,1,1,1,2,1,1,1,1,1,1,256,256,256,35.60815959148936,1.770194248231112e+16,0.1,242050999884753.38,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
16,512,1,1,1,256,1,256,2,4,1,64,64,8,1,1,1,4,1,1,1,1,1,1,256,256,256,35.529551999999995,1.80630967280786e+16,0.06069620425531915,422629353009926.5,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157194511594229.4
64,256,1,1,1,128,1,256,8,1,2,64,64,8,2,1,1,1,1,1,1,1,1,1,256,256,256,35.56815959148936,1.7700874658636328e+16,0.08,241518728269151.0,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157194101613869.3
32,8,1,1,1,256,1,256,1,2,64,64,64,8,1,1,1,8,1,1,1,1,1,1,256,256,256,35.54815959148936,1.7347542896637722e+16,0.07,64852027209009.52,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157194921674706.8
64,4,1,1,1,128,1,256,4,1,128,64,64,8,2,1,1,2,1,1,1,1,1,1,256,256,256,35.56815959148936,1.7342386467760642e+16,0.08,62272992609514.875,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
64,1,1,1,1,256,1,256,8,1,512,64,64,8,1,1,1,1,1,1,1,1,1,1,256,256,256,35.51955444140625,1.7335986540167392e+16,0.055697424958444146,59074669034682.04,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157194101613869.3
16,128,1,1,1,256,1,256,2,4,4,64,64,8,1,1,1,4,1,1,1,1,1,1,256,256,256,35.529551999999995,1.7517453893491112e+16,0.06069620425531915,149807935716182.12,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157194511594229.4
64,16,1,1,1,256,1,256,1,1,32,64,64,8,1,1,1,8,1,1,1,1,1,1,256,256,256,35.60815959148936,1.7360522033435622e+16,0.1,71340775447004.64,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
32,4,1,1,1,256,1,256,2,2,128,64,64,8,1,1,1,4,1,1,1,1,1,1,256,256,256,35.54815959148936,1.734185255582313e+16,0.07,62006856801713.72,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157194921674706.8
32,16,1,1,1,128,1,256,2,2,32,64,64,8,2,1,1,4,1,1,1,1,1,1,256,256,256,35.53385579574468,1.7358391306651302e+16,0.06284810212765957,70276232215799.984,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157194921674706.8
64,256,1,1,1,256,1,256,1,1,2,64,64,8,1,1,1,8,1,1,1,1,1,1,256,256,256,35.60815959148936,1.770194248231112e+16,0.1,242050999884753.38,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
64,1,1,1,1,256,1,64,2,1,512,64,64,8,1,1,4,4,1,1,1,1,1,1,256,256,256,34.69322565842753,1.7048557735727344e+16,0.055697424958444146,59074669034682.04,11.431709412765958,5531471978990336.0,0.00022658723404255323,489590414875.54156,0.1427848170212766,166772254306296.22
64,512,1,1,1,128,1,128,1,1,1,64,64,8,2,1,2,8,1,1,1,1,1,1,256,256,256,34.72183080851064,1.787866248145784e+16,0.07,423028556721628.25,11.431709412765958,5565537362388885.0,0.00022658723404255323,489590414875.54156,0.1427848170212766,166772664386773.62
64,64,1,1,1,64,1,256,4,1,8,64,64,8,4,1,1,2,1,1,1,1,1,1,256,256,256,35.55385579574468,1.7427209308363914e+16,0.07284810212765958,104684412911150.89,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
64,2,1,1,1,256,1,64,2,1,256,64,64,8,1,1,4,4,1,1,1,1,1,1,256,256,256,34.757527012765955,1.7052375348277516e+16,0.08784810212765957,60983475309767.555,11.431709412765958,5531471978990336.0,0.00022658723404255323,489590414875.54156,0.1427848170212766,166772254306296.22
64,4,1,1,1,256,1,128,1,1,128,64,64,8,1,1,2,8,1,1,1,1,1,1,256,256,256,34.76183080851064,1.7157683624849216e+16,0.09,62539128417316.04,11.431709412765958,5565537362388885.0,0.00022658723404255323,489590414875.54156,0.1427848170212766,166772664386773.62
64,512,1,1,1,256,1,256,1,1,1,64,64,8,1,1,1,8,1,1,1,1,1,1,256,256,256,35.60815959148936,1.8065494410831676e+16,0.1,423826964145031.75,11.707152340425532,5633668129185983.0,0.00022658723404255323,488922262468.1166,0.1427848170212766,157195741835661.66
