DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,512,1,1,1,16384,1,2048,16,1,4,128,128,16,1,1,8,32,1,1,1,1,1,1,16,16,16,150027.33033777023,1.4708552120605256e+18,584.846610519149,7946778966726118.0,48835.263117617025,4.769771250305325e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1996157518709872e+16
16,128,1,1,1,8192,1,8192,64,4,16,128,128,16,2,1,2,8,1,1,1,1,1,1,16,16,16,150027.33033777023,1.583206094939568e+18,584.846610519149,5104644891661029.0,48835.263117617025,5.1632217537359e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1996157518709872e+16
64,16,1,1,1,4096,1,8192,512,1,128,128,128,16,4,1,2,1,1,1,1,1,1,1,16,16,16,150027.33033777023,1.5824788220239885e+18,584.846610519149,4741033139666489.0,48835.263117617025,5.1632217537359e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1996132812914736e+16
64,2048,1,1,1,8192,1,16384,128,1,1,128,128,16,2,1,1,4,1,1,1,1,1,1,16,16,16,150027.33033777023,1.7623922673094733e+18,584.846610519149,1.6118134773905024e+16,48835.263117617025,5.687822424976668e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1885653135303272e+16
32,64,1,1,1,16384,1,4096,64,2,32,128,128,16,1,1,4,8,1,1,1,1,1,1,16,16,16,150027.33033777023,1.504422458466779e+18,584.846610519149,5057876998323983.0,48835.263117617025,4.900921418115517e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1996157518709872e+16
32,512,1,1,1,2048,1,16384,512,2,4,128,128,16,8,1,1,1,1,1,1,1,1,1,16,16,16,150027.33033777023,1.744819627576534e+18,584.846610519149,7332012555115844.0,48835.263117617025,5.687822424976668e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1885455487622736e+16
64,2048,1,1,1,8192,1,4096,64,1,1,128,128,16,2,1,4,8,1,1,1,1,1,1,16,16,16,150027.33033777023,1.5259519747625812e+18,584.846610519149,1.5822610440241538e+16,48835.263117617025,4.900921418115517e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.19961822246935e+16
32,512,1,1,1,16384,1,16384,512,2,4,128,128,16,1,1,1,1,1,1,1,1,1,1,16,16,16,150027.33033777023,1.745536855056746e+18,584.846610519149,7690626295221836.0,48835.263117617025,5.687822424976668e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1885455487622736e+16
64,256,1,1,1,4096,1,8192,8,1,8,128,128,16,4,1,2,64,1,1,1,1,1,1,16,16,16,150027.33033777023,1.585135152915047e+18,584.846610519149,6069099761449678.0,48835.263117617025,5.1632217537359e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.199623163666076e+16
64,8,1,1,1,8192,1,4096,512,1,256,128,128,16,2,1,4,1,1,1,1,1,1,1,16,16,16,150027.33033777023,1.5039051057002913e+18,584.846610519149,4799225320875429.0,48835.263117617025,4.900921418115517e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1996132812914736e+16
32,16,1,1,1,8192,1,16384,8,2,128,128,128,16,2,1,1,64,1,1,1,1,1,1,16,16,16,150027.33033777023,1.739637866393127e+18,584.846610519149,4741033139666489.0,48835.263117617025,5.687822424976668e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1885554311368758e+16
16,512,1,1,1,16384,1,16384,256,4,4,128,128,16,1,1,1,2,1,1,1,1,1,1,16,16,16,150027.33033777023,1.744922187468693e+18,584.846610519149,7383243089416700.0,48835.263117617025,5.687822424976668e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.18855048994015e+16
64,64,1,1,1,16384,1,4096,16,1,32,128,128,16,1,1,4,32,1,1,1,1,1,1,16,16,16,150027.33033777023,1.5053446574961615e+18,584.846610519149,5518951807031689.0,48835.263117617025,4.900921418115517e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.19961822246935e+16
64,128,1,1,1,4096,1,16384,256,1,16,128,128,16,4,1,1,2,1,1,1,1,1,1,16,16,16,150027.33033777023,1.7412874371624008e+18,584.846610519149,5565719700368735.0,48835.263117617025,5.687822424976668e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1885653135303272e+16
32,32,1,1,1,16384,1,2048,512,2,64,128,128,16,1,1,8,1,1,1,1,1,1,1,16,16,16,150027.33033777023,1.4646719770786877e+18,584.846610519149,4855186181602463.0,48835.263117617025,4.769771250305325e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1996132812914736e+16
64,256,1,1,1,8192,1,16384,128,1,8,128,128,16,2,1,1,4,1,1,1,1,1,1,16,16,16,150027.33033777023,1.7431138858333763e+18,584.846610519149,6478944035856528.0,48835.263117617025,5.687822424976668e+17,0.43616299574468087,7592799611231.666,1174.833474451064,1.1885653135303272e+16
