DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,512,1,1,1,64,1,64,4,1,2,64,64,16,1,1,1,4,1,1,1,1,1,1,256,256,256,3.156579676595745,1807495422569071.2,0.08,241808308263644.25,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,2,1,1,1,64,1,32,4,1,512,64,64,16,1,1,2,4,1,1,1,1,1,1,256,256,256,3.080567046808511,1619081445393743.8,0.07284810212765958,60162558990735.11,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166561148004958.72
64,32,1,1,1,32,1,64,4,1,32,64,64,16,2,1,1,4,1,1,1,1,1,1,256,256,256,3.1394277787234044,1636252926515720.2,0.06284810212765957,70565812210293.23,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,4,1,1,1,32,1,64,1,1,256,64,64,16,2,1,1,16,1,1,1,1,1,1,256,256,256,3.1394277787234044,1626294830090185.0,0.06284810212765957,60607715784757.9,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
32,8,1,1,1,64,1,64,1,2,128,64,64,16,1,1,1,16,1,1,1,1,1,1,256,256,256,3.132275880851064,1627450869405554.5,0.05569620425531915,61764165180604.64,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299280813458.6
64,512,1,1,1,64,1,32,16,1,2,64,64,16,1,1,2,1,1,1,1,1,1,1,256,256,256,3.080567046808511,1800460648978609.0,0.07284810212765958,241542172455843.12,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166560738124715.94
64,64,1,1,1,64,1,32,8,1,16,64,64,16,1,1,2,2,1,1,1,1,1,1,256,256,256,3.080567046808511,1641131516050286.5,0.07284810212765958,82212629647277.66,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166561148004958.72
32,64,1,1,1,64,1,64,16,2,16,64,64,16,1,1,1,1,1,1,1,1,1,1,256,256,256,3.132275880851064,1647366652376382.0,0.05569620425531915,81680358031675.31,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156298870933215.78
64,256,1,1,1,64,1,32,16,1,4,64,64,16,1,1,2,1,1,1,1,1,1,1,256,256,256,3.080567046808511,1709415195945143.0,0.07284810212765958,150496719422377.12,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166560738124715.94
32,32,1,1,1,64,1,64,2,2,32,64,64,16,1,1,1,8,1,1,1,1,1,1,256,256,256,3.132275880851064,1635986380627441.5,0.05569620425531915,70299676402492.08,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299280813458.6
64,256,1,1,1,64,1,64,1,1,4,64,64,16,1,1,1,16,1,1,1,1,1,1,256,256,256,3.156579676595745,1716449969535605.2,0.08,150762855230178.28,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,64,1,1,1,32,1,64,1,1,16,64,64,16,2,1,1,16,1,1,1,1,1,1,256,256,256,3.1394277787234044,1647633608144903.5,0.06284810212765957,81946493839476.48,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,256,1,1,1,32,1,64,4,1,4,64,64,16,2,1,1,4,1,1,1,1,1,1,256,256,256,3.1394277787234044,1715917697920003.0,0.06284810212765957,150230583614575.94,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,64,1,1,1,32,1,64,8,1,16,64,64,16,2,1,1,2,1,1,1,1,1,1,256,256,256,3.1394277787234044,1647633608144903.5,0.06284810212765957,81946493839476.48,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
32,4,1,1,1,64,1,64,16,2,256,64,64,16,1,1,1,1,1,1,1,1,1,1,256,256,256,3.132275880851064,1626027874321663.5,0.05569620425531915,60341579976956.734,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156298870933215.78
64,16,1,1,1,64,1,32,2,1,64,64,64,16,1,1,2,8,1,1,1,1,1,1,256,256,256,3.080567046808511,1624060493606511.5,0.07284810212765958,65141607203502.78,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166561148004958.72
64,2,1,1,1,64,1,32,4,1,512,64,64,16,1,1,2,4,1,1,1,1,1,1,256,256,256,3.080567046808511,1619081445393743.8,0.07284810212765958,60162558990735.11,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166561148004958.72
32,64,1,1,1,64,1,64,16,2,16,64,64,16,1,1,1,1,1,1,1,1,1,1,256,256,256,3.132275880851064,1647366652376382.0,0.05569620425531915,81680358031675.31,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156298870933215.78
64,128,1,1,1,64,1,32,4,1,8,64,64,16,1,1,2,4,1,1,1,1,1,1,256,256,256,3.080567046808511,1663892879308653.0,0.07284810212765958,104973992905644.14,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166561148004958.72
64,2,1,1,1,64,1,64,8,1,512,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,3.156579676595745,1626115809103963.2,0.08,60428694798536.27,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,128,1,1,1,64,1,32,4,1,8,64,64,16,1,1,2,4,1,1,1,1,1,1,256,256,256,3.080567046808511,1663892879308653.0,0.07284810212765958,104973992905644.14,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166561148004958.72
64,128,1,1,1,32,1,64,1,1,8,64,64,16,2,1,1,16,1,1,1,1,1,1,256,256,256,3.1394277787234044,1670394971403270.0,0.06284810212765957,104707857097842.98,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,512,1,1,1,64,1,64,1,1,2,64,64,16,1,1,1,16,1,1,1,1,1,1,256,256,256,3.156579676595745,1807495422569071.2,0.08,241808308263644.25,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,16,1,1,1,32,1,64,1,1,64,64,64,16,2,1,1,16,1,1,1,1,1,1,256,256,256,3.1394277787234044,1630562585701128.5,0.06284810212765957,64875471395701.62,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,512,1,1,1,64,1,64,16,1,2,64,64,16,1,1,1,1,1,1,1,1,1,1,256,256,256,3.156579676595745,1807494602608351.0,0.08,241808308263644.25,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156298870933215.78
64,4,1,1,1,32,1,64,1,1,256,64,64,16,2,1,1,16,1,1,1,1,1,1,256,256,256,3.1394277787234044,1626294830090185.0,0.06284810212765957,60607715784757.9,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
32,512,1,1,1,64,1,64,1,2,2,64,64,16,1,1,1,16,1,1,1,1,1,1,256,256,256,3.132275880851064,1806696605065190.5,0.05569620425531915,241009900840240.75,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299280813458.6
64,16,1,1,1,32,1,64,8,1,64,64,64,16,2,1,1,2,1,1,1,1,1,1,256,256,256,3.1394277787234044,1630562585701128.5,0.06284810212765957,64875471395701.62,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,64,1,1,1,64,1,32,8,1,16,64,64,16,1,1,2,2,1,1,1,1,1,1,256,256,256,3.080567046808511,1641131516050286.5,0.07284810212765958,82212629647277.66,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166561148004958.72
32,64,1,1,1,64,1,64,4,2,16,64,64,16,1,1,1,4,1,1,1,1,1,1,256,256,256,3.132275880851064,1647367062256625.0,0.05569620425531915,81680358031675.31,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299280813458.6
64,1,1,1,1,32,1,64,16,1,1024,64,64,16,2,1,1,1,1,1,1,1,1,1,256,256,256,3.1301239829787235,1624162917842898.8,0.053544306382978725,58476623498192.02,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156298870933215.78
64,1,1,1,1,64,1,64,4,1,1024,64,64,16,1,1,1,4,1,1,1,1,1,1,256,256,256,3.1301239829787235,1624163737803619.0,0.053544306382978725,58476623498192.02,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
32,1,1,1,1,64,1,64,8,2,1024,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,3.1301239829787235,1624163327723141.5,0.053544306382978725,58476623498192.02,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299280813458.6
32,16,1,1,1,64,1,64,8,2,64,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,3.132275880851064,1630296039812850.0,0.05569620425531915,64609335587900.45,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299280813458.6
64,512,1,1,1,64,1,64,8,1,2,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,3.156579676595745,1807495422569071.2,0.08,241808308263644.25,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,2,1,1,1,64,1,32,2,1,512,64,64,16,1,1,2,8,1,1,1,1,1,1,256,256,256,3.080567046808511,1619081445393743.8,0.07284810212765958,60162558990735.11,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166561148004958.72
64,1,1,1,1,32,1,64,2,1,1024,64,64,16,2,1,1,8,1,1,1,1,1,1,256,256,256,3.1301239829787235,1624163737803619.0,0.053544306382978725,58476623498192.02,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,32,1,1,1,64,1,64,16,1,32,64,64,16,1,1,1,1,1,1,1,1,1,1,256,256,256,3.156579676595745,1636784378170602.2,0.08,71098083825895.56,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156298870933215.78
32,128,1,1,1,64,1,64,4,2,8,64,64,16,1,1,1,4,1,1,1,1,1,1,256,256,256,3.132275880851064,1670128425514991.5,0.05569620425531915,104441721290041.81,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299280813458.6
64,256,1,1,1,32,1,64,4,1,4,64,64,16,2,1,1,4,1,1,1,1,1,1,256,256,256,3.1394277787234044,1715917697920003.0,0.06284810212765957,150230583614575.94,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,128,1,1,1,32,1,64,2,1,8,64,64,16,2,1,1,8,1,1,1,1,1,1,256,256,256,3.1394277787234044,1670394971403270.0,0.06284810212765957,104707857097842.98,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,1,1,1,1,64,1,32,8,1,1024,64,64,16,1,1,2,2,1,1,1,1,1,1,256,256,256,3.06126325106383,1617395509901200.8,0.053544306382978725,58476623498192.02,1.432310195744681,695810890162027.4,0.00010457872340425534,245319357998.43225,0.1427848170212766,166561148004958.72
64,16,1,1,1,32,1,64,2,1,64,64,64,16,2,1,1,8,1,1,1,1,1,1,256,256,256,3.1394277787234044,1630562585701128.5,0.06284810212765957,64875471395701.62,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,256,1,1,1,32,1,64,1,1,4,64,64,16,2,1,1,16,1,1,1,1,1,1,256,256,256,3.1394277787234044,1715917697920003.0,0.06284810212765957,150230583614575.94,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,1,1,1,1,64,1,64,16,1,1024,64,64,16,1,1,1,1,1,1,1,1,1,1,256,256,256,3.1301239829787235,1624162917842898.8,0.053544306382978725,58476623498192.02,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156298870933215.78
64,8,1,1,1,64,1,64,8,1,128,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,3.156579676595745,1628249686909435.2,0.08,62562572604008.13,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
64,128,1,1,1,32,1,64,8,1,8,64,64,16,2,1,1,2,1,1,1,1,1,1,256,256,256,3.1394277787234044,1670394971403270.0,0.06284810212765957,104707857097842.98,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
32,512,1,1,1,64,1,64,8,2,2,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,3.132275880851064,1806696605065190.5,0.05569620425531915,241009900840240.75,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299280813458.6
64,128,1,1,1,32,1,64,2,1,8,64,64,16,2,1,1,8,1,1,1,1,1,1,256,256,256,3.1394277787234044,1670394971403270.0,0.06284810212765957,104707857097842.98,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156299690893936.0
32,256,1,1,1,64,1,64,16,2,4,64,64,16,1,1,1,1,1,1,1,1,1,1,256,256,256,3.132275880851064,1715650742151481.5,0.05569620425531915,149964447806774.8,1.4667405617021279,704327236011664.6,0.00010457872340425534,244317129387.29474,0.1427848170212766,156298870933215.78
